d1,type,d2
DB00395,1,DB01173
DB01072,1,DB04876
DB01115,1,DB09282
DB00368,1,DB00745
DB00363,1,DB00780
DB00561,1,DB00610
DB00468,1,DB00613
DB00181,1,DB00875
DB00213,1,DB00530
DB01036,1,DB06717
DB00454,1,DB00887
DB00682,1,DB00923
DB00557,1,DB06690
DB01609,1,DB09075
DB00213,1,DB08934
DB04845,1,DB06290
DB01038,1,DB01242
DB00829,1,DB01403
DB00328,1,DB06696
DB00258,1,DB04825
DB00196,1,DB09401
DB00188,1,DB00213
DB01058,1,DB01238
DB00363,1,DB00619
DB01577,1,DB06714
DB00334,1,DB00672
DB00201,1,DB00474
DB00199,1,DB01054
DB00440,1,DB00700
DB00543,1,DB06701
DB00204,1,DB01169
DB01238,1,DB06636
DB00230,1,DB09072
DB01254,1,DB08933
DB01268,1,DB06695
DB00989,1,DB01214
DB00682,1,DB01320
DB00214,1,DB09242
DB00864,1,DB04876
DB01340,1,DB01592
DB00199,1,DB00586
DB00782,1,DB09076
DB01098,1,DB09272
DB00220,1,DB01198
DB00397,1,DB01577
DB00222,1,DB01015
DB01075,1,DB08893
DB00458,1,DB09042
DB00976,1,DB01590
DB00332,1,DB01148
DB00528,1,DB01397
DB00451,1,DB09407
DB01253,1,DB06290
DB00820,1,DB04884
DB00872,1,DB09065
DB00502,1,DB01576
DB00486,1,DB00726
DB00182,1,DB00933
DB00176,1,DB00608
DB01142,1,DB09034
DB01656,1,DB04868
DB00211,1,DB00489
DB00750,1,DB01612
DB00220,1,DB06207
DB00829,1,DB09073
DB00436,1,DB00956
DB00501,1,DB00839
DB00593,1,DB00972
DB00457,1,DB01427
DB01149,1,DB06589
DB01320,1,DB05676
DB00280,1,DB06335
DB09268,1,DB11080
DB00503,1,DB09123
DB00924,1,DB08893
DB00450,1,DB00972
DB00668,1,DB09009
DB00321,1,DB00449
DB00734,1,DB08822
DB00193,1,DB00409
DB01168,1,DB01656
DB00317,1,DB06290
DB02703,1,DB06772
DB00997,1,DB06697
DB00333,1,DB00774
DB00199,1,DB06589
DB00384,1,DB01551
DB00653,1,DB04844
DB01609,1,DB05812
DB00700,1,DB09118
DB02703,1,DB06413
DB00851,1,DB04839
DB01211,1,DB09074
DB00448,1,DB01026
DB00275,1,DB00440
DB01069,1,DB04842
DB00528,1,DB11126
DB00180,1,DB00794
DB00606,1,DB00611
DB00343,1,DB01076
DB00269,1,DB00316
DB00758,1,DB05351
DB00252,1,DB01242
DB00745,1,DB09054
DB00524,1,DB00862
DB00344,1,DB00382
DB00544,1,DB01418
DB00121,1,DB00319
DB00780,1,DB01115
DB00243,1,DB00331
DB04876,1,DB09128
DB00933,1,DB04871
DB00327,1,DB06204
DB00543,1,DB00956
DB00091,1,DB01351
DB00682,1,DB00916
DB00561,1,DB00865
DB00691,1,DB09282
DB00834,1,DB08827
DB00313,1,DB01597
DB00224,1,DB09054
DB01255,1,DB01614
DB00677,1,DB08931
DB01156,1,DB01171
DB00270,1,DB06717
DB00295,1,DB00765
DB01601,1,DB02703
DB00404,1,DB01609
DB00669,1,DB04842
DB00186,1,DB00771
DB00035,1,DB00497
DB00683,1,DB00921
DB00269,1,DB01072
DB00932,1,DB01609
DB01609,1,DB06212
DB01197,1,DB06724
DB00956,1,DB01166
DB00783,1,DB00974
DB00014,1,DB01137
DB01167,1,DB01377
DB00104,1,DB01114
DB01224,1,DB08897
DB00813,1,DB01264
DB00176,1,DB01175
DB00612,1,DB08896
DB00752,1,DB04896
DB00783,1,DB01353
DB00381,1,DB00976
DB06663,1,DB08895
DB00502,1,DB06290
DB00338,1,DB00363
DB00554,1,DB00932
DB00737,1,DB09034
DB00188,1,DB01242
DB00197,1,DB01045
DB00190,1,DB00246
DB00457,1,DB00734
DB00363,1,DB00544
DB00264,1,DB01075
DB00250,1,DB09073
DB00186,1,DB00768
DB00310,1,DB00820
DB00224,1,DB06414
DB00836,1,DB09280
DB00334,1,DB04896
DB01590,1,DB09039
DB00715,1,DB00806
DB00224,1,DB05109
DB00921,1,DB01558
DB00967,1,DB08897
DB01171,1,DB01235
DB00014,1,DB00199
DB00708,1,DB01017
DB00780,1,DB06153
DB00208,1,DB09128
DB00312,1,DB00615
DB00331,1,DB00877
DB00559,1,DB04908
DB00444,1,DB00834
DB00668,1,DB01236
DB00220,1,DB00641
DB00370,1,DB00831
DB00191,1,DB06704
DB00252,1,DB01095
DB00244,1,DB00352
DB00619,1,DB00872
DB05812,1,DB06695
DB00307,1,DB00363
DB00653,1,DB09072
DB00408,1,DB01021
DB00196,1,DB00337
DB00479,1,DB00605
DB00273,1,DB01017
DB00700,1,DB06290
DB00346,1,DB04861
DB00956,1,DB09073
DB01201,1,DB09128
DB00641,1,DB01238
DB00373,1,DB01158
DB01155,1,DB01273
DB00374,1,DB01241
DB00188,1,DB09330
DB00433,1,DB09072
DB00564,1,DB00813
DB00470,1,DB00734
DB00220,1,DB01012
DB00458,1,DB01104
DB00934,1,DB01100
DB00619,1,DB01072
DB00300,1,DB01009
DB01367,1,DB01609
DB00864,1,DB06207
DB04845,1,DB09118
DB00206,1,DB00780
DB00956,1,DB06282
DB00252,1,DB00281
DB00104,1,DB01165
DB00417,1,DB01172
DB06153,1,DB08897
DB00613,1,DB00752
DB01198,1,DB08820
DB01167,1,DB08918
DB00705,1,DB00938
DB01264,1,DB06176
DB00450,1,DB01018
DB00443,1,DB00621
DB00673,1,DB01181
DB00199,1,DB01244
DB00794,1,DB05676
DB00486,1,DB01621
DB00555,1,DB01174
DB01048,1,DB01072
DB00571,1,DB01115
DB00490,1,DB08933
DB00268,1,DB01069
DB00674,1,DB01623
DB00543,1,DB01278
DB00341,1,DB00486
DB00374,1,DB00503
DB00541,1,DB00570
DB01142,1,DB01175
DB01359,1,DB08868
DB00334,1,DB01021
DB06210,1,DB06724
DB00682,1,DB00861
DB00451,1,DB01320
DB06715,1,DB09220
DB00425,1,DB00897
DB00358,1,DB00593
DB00091,1,DB04855
DB00758,1,DB06228
DB00270,1,DB01211
DB00813,1,DB08820
DB00530,1,DB01026
DB00411,1,DB00436
DB00780,1,DB06701
DB00628,1,DB00752
DB00264,1,DB00458
DB00564,1,DB08868
DB00794,1,DB01418
DB00802,1,DB06717
DB00393,1,DB06700
DB00622,1,DB06616
DB01120,1,DB01403
DB04868,1,DB08873
DB04855,1,DB06695
DB01234,1,DB08907
DB00910,1,DB01070
DB00366,1,DB00996
DB00476,1,DB01178
DB00736,1,DB06695
DB01120,1,DB06825
DB00269,1,DB04938
DB00248,1,DB01178
DB00191,1,DB00623
DB00470,1,DB00871
DB00418,1,DB01151
DB00470,1,DB00502
DB00897,1,DB03880
DB00498,1,DB09075
DB00344,1,DB01038
DB00323,1,DB05271
DB00712,1,DB00945
DB00818,1,DB00921
DB00218,1,DB09267
DB00476,1,DB00946
DB01264,1,DB09030
DB00477,1,DB00865
DB00677,1,DB01253
DB00986,1,DB01409
DB00211,1,DB00344
DB00543,1,DB03880
DB08912,1,DB09063
DB00337,1,DB05109
DB00734,1,DB01193
DB00243,1,DB06717
DB00422,1,DB00767
DB00307,1,DB08895
DB00266,1,DB01351
DB00214,1,DB00346
DB01166,1,DB01609
DB01357,1,DB06335
DB00180,1,DB00564
DB00749,1,DB06826
DB00726,1,DB09073
DB01118,1,DB08895
DB00820,1,DB00883
DB00582,1,DB08903
DB01264,1,DB04946
DB00823,1,DB09280
DB00834,1,DB00909
DB00860,1,DB01251
DB00697,1,DB00765
DB00243,1,DB01177
DB00186,1,DB01267
DB00598,1,DB00989
DB00969,1,DB01149
DB01576,1,DB06724
DB00358,1,DB00776
DB00388,1,DB00598
DB01609,1,DB09074
DB00898,1,DB01176
DB00648,1,DB01590
DB00831,1,DB06201
DB00320,1,DB08865
DB00243,1,DB00872
DB00454,1,DB04831
DB01020,1,DB06290
DB01063,1,DB04871
DB00325,1,DB00884
DB00425,1,DB01173
DB00387,1,DB00497
DB00449,1,DB01577
DB01278,1,DB06153
DB00780,1,DB00881
DB00687,1,DB06412
DB00819,1,DB06799
DB00266,1,DB08887
DB00455,1,DB00557
DB00311,1,DB00703
DB00955,1,DB01415
DB00382,1,DB01339
DB00254,1,DB01174
DB00969,1,DB01072
DB00277,1,DB04861
DB01600,1,DB04865
DB00683,1,DB01211
DB00713,1,DB01032
DB04845,1,DB08912
DB00181,1,DB00564
DB00834,1,DB02901
DB01201,1,DB09063
DB00539,1,DB09065
DB00333,1,DB06288
DB00996,1,DB01174
DB00682,1,DB01563
DB00216,1,DB01238
DB00661,1,DB01392
DB06287,1,DB09048
DB00602,1,DB04905
DB01254,1,DB02703
DB00788,1,DB01208
DB00187,1,DB00608
DB00252,1,DB01118
DB01038,1,DB01171
DB00834,1,DB08881
DB00912,1,DB08873
DB00450,1,DB09068
DB01020,1,DB08931
DB00921,1,DB00996
DB00243,1,DB00794
DB00186,1,DB01623
DB01018,1,DB09034
DB00816,1,DB01203
DB00691,1,DB08907
DB01011,1,DB01320
DB00816,1,DB01576
DB00486,1,DB01558
DB00425,1,DB09117
DB00788,1,DB01203
DB00985,1,DB08893
DB00476,1,DB01142
DB00761,1,DB01624
DB00897,1,DB01167
DB00421,1,DB00497
DB01208,1,DB01593
DB00549,1,DB00834
DB00448,1,DB00710
DB00563,1,DB00784
DB00252,1,DB01576
DB00175,1,DB00625
DB00508,1,DB00813
DB00472,1,DB00831
DB00014,1,DB01035
DB00758,1,DB01054
DB00956,1,DB01156
DB01463,1,DB04896
DB00829,1,DB06201
DB00765,1,DB00829
DB00465,1,DB00798
DB01320,1,DB08934
DB00343,1,DB09220
DB00531,1,DB06290
DB00346,1,DB00590
DB00814,1,DB09026
DB00331,1,DB00672
DB00425,1,DB00906
DB00208,1,DB00945
DB00337,1,DB01033
DB00723,1,DB01223
DB00673,1,DB00715
DB00881,1,DB01021
DB00193,1,DB00622
DB01380,1,DB08869
DB00759,1,DB01147
DB00295,1,DB05271
DB01058,1,DB01609
DB00657,1,DB01111
DB00780,1,DB00865
DB00307,1,DB01590
DB00494,1,DB09117
DB00277,1,DB08820
DB00470,1,DB01247
DB00573,1,DB01032
DB00607,1,DB06616
DB00474,1,DB01210
DB00657,1,DB00819
DB00816,1,DB01142
DB01208,1,DB06791
DB00492,1,DB01395
DB00976,1,DB01609
DB00371,1,DB01392
DB00952,1,DB01100
DB00687,1,DB01124
DB00728,1,DB00884
DB00420,1,DB01403
DB00482,1,DB00657
DB00762,1,DB01211
DB01235,1,DB01340
DB00193,1,DB01104
DB00814,1,DB09063
DB00976,1,DB08867
DB01609,1,DB09068
DB00648,1,DB01129
DB00270,1,DB00501
DB00176,1,DB06700
DB00222,1,DB00334
DB01166,1,DB06413
DB00318,1,DB00501
DB00452,1,DB00605
DB00734,1,DB01149
DB00590,1,DB00734
DB01036,1,DB01263
DB00196,1,DB00814
DB00312,1,DB01395
DB00715,1,DB01142
DB01275,1,DB01392
DB00489,1,DB00672
DB00648,1,DB09128
DB00622,1,DB01119
DB00425,1,DB01267
DB00876,1,DB01395
DB00294,1,DB01264
DB00252,1,DB00628
DB00014,1,DB08865
DB00440,1,DB01118
DB00321,1,DB00834
DB00949,1,DB01041
DB08794,1,DB08918
DB00370,1,DB00653
DB00679,1,DB04896
DB00321,1,DB00388
DB01144,1,DB01235
DB00497,1,DB06290
DB01100,1,DB08880
DB00953,1,DB06262
DB00889,1,DB09042
DB04896,1,DB06605
DB00384,1,DB01392
DB00321,1,DB00988
DB00474,1,DB01403
DB00384,1,DB00652
DB00450,1,DB06153
DB00187,1,DB01359
DB00752,1,DB01224
DB01204,1,DB08895
DB01255,1,DB01463
DB00091,1,DB00312
DB00484,1,DB01174
DB00006,1,DB00378
DB00474,1,DB00808
DB00564,1,DB00734
DB00374,1,DB01551
DB00318,1,DB00382
DB00606,1,DB00899
DB00726,1,DB09117
DB01104,1,DB01151
DB00908,1,DB08912
DB00544,1,DB06218
DB00842,1,DB09072
DB08827,1,DB09118
DB00323,1,DB09286
DB00293,1,DB04817
DB00465,1,DB09026
DB00715,1,DB01418
DB01014,1,DB01050
DB00413,1,DB00842
DB00715,1,DB01267
DB00224,1,DB00497
DB00215,1,DB08903
DB00535,1,DB03615
DB01254,1,DB09288
DB00384,1,DB06204
DB01155,1,DB01377
DB00700,1,DB01340
DB06717,1,DB09049
DB01097,1,DB09073
DB08822,1,DB08907
DB00543,1,DB06290
DB01054,1,DB01377
DB04574,1,DB08912
DB00126,1,DB00783
DB04835,1,DB06717
DB00648,1,DB04845
DB00458,1,DB09072
DB00270,1,DB00582
DB09048,1,DB09102
DB01242,1,DB04884
DB00211,1,DB00241
DB00476,1,DB00727
DB00472,1,DB00934
DB01076,1,DB06210
DB00210,1,DB00460
DB00176,1,DB00296
DB01024,1,DB01032
DB01087,1,DB09083
DB00215,1,DB00569
DB01197,1,DB09026
DB00224,1,DB00470
DB00682,1,DB01354
DB00382,1,DB06282
DB00502,1,DB00908
DB00834,1,DB06636
DB00220,1,DB01016
DB00615,1,DB01117
DB01390,1,DB01560
DB01017,1,DB09071
DB00839,1,DB01045
DB00484,1,DB01017
DB00541,1,DB09118
DB00780,1,DB09241
DB04855,1,DB06684
DB00315,1,DB01624
DB01114,1,DB09034
DB00315,1,DB00420
DB00831,1,DB01409
DB00401,1,DB00734
DB00921,1,DB01254
DB00388,1,DB00422
DB01173,1,DB08815
DB00653,1,DB00759
DB00706,1,DB04841
DB00904,1,DB00918
DB00418,1,DB00528
DB00266,1,DB01015
DB00908,1,DB09104
DB00425,1,DB01017
DB00201,1,DB01144
DB01129,1,DB01609
DB00196,1,DB00425
DB00486,1,DB00844
DB00679,1,DB00898
DB01144,1,DB09220
DB00474,1,DB00700
DB00502,1,DB01560
DB00530,1,DB00736
DB06825,1,DB08882
DB00697,1,DB05812
DB00765,1,DB01219
DB00567,1,DB11248
DB00494,1,DB00697
DB00177,1,DB00657
DB00813,1,DB01201
DB00444,1,DB00559
DB00726,1,DB04842
DB00252,1,DB00814
DB00968,1,DB01158
DB00934,1,DB01623
DB00864,1,DB03880
DB00682,1,DB01212
DB00176,1,DB00953
DB01021,1,DB01175
DB01263,1,DB09039
DB00862,1,DB00925
DB00673,1,DB00897
DB00269,1,DB00400
DB00231,1,DB00370
DB01168,1,DB01178
DB01155,1,DB06723
DB00196,1,DB08881
DB01035,1,DB05812
DB01011,1,DB06335
DB00604,1,DB06717
DB00215,1,DB01059
DB00418,1,DB00486
DB00388,1,DB01274
DB00584,1,DB01354
DB00312,1,DB00975
DB00204,1,DB08865
DB00682,1,DB00775
DB00945,1,DB01600
DB00742,1,DB01172
DB00524,1,DB00806
DB00222,1,DB01319
DB00370,1,DB08820
DB01364,1,DB06262
DB00318,1,DB00903
DB01194,1,DB09054
DB00806,1,DB00876
DB00875,1,DB01037
DB00261,1,DB00974
DB00503,1,DB01156
DB00802,1,DB08933
DB00440,1,DB00621
DB00220,1,DB09227
DB00887,1,DB06335
DB00503,1,DB04868
DB00457,1,DB01203
DB00570,1,DB08934
DB00541,1,DB08820
DB01196,1,DB08895
DB00374,1,DB00968
DB04842,1,DB06684
DB01319,1,DB06605
DB00237,1,DB01223
DB00482,1,DB00679
DB00199,1,DB00252
DB00752,1,DB01409
DB00320,1,DB01178
DB00252,1,DB04855
DB01167,1,DB09026
DB00246,1,DB08918
DB01395,1,DB09026
DB00595,1,DB00732
DB09271,1,DB09555
DB00316,1,DB01074
DB00783,1,DB09280
DB00193,1,DB01232
DB01238,1,DB09034
DB01149,1,DB09241
DB04938,1,DB08912
DB00709,1,DB01004
DB00713,1,DB01017
DB00468,1,DB04876
DB00204,1,DB00270
DB00759,1,DB00881
DB00831,1,DB01233
DB01181,1,DB01656
DB00819,1,DB00956
DB01144,1,DB01364
DB00687,1,DB01609
DB00715,1,DB01071
DB00745,1,DB00867
DB00727,1,DB01235
DB00206,1,DB00468
DB00277,1,DB01178
DB00445,1,DB00531
DB00682,1,DB01033
DB00304,1,DB01120
DB00333,1,DB01026
DB00408,1,DB01041
DB00104,1,DB00672
DB00501,1,DB00806
DB01264,1,DB09053
DB00497,1,DB08820
DB02901,1,DB08907
DB00454,1,DB00956
DB00315,1,DB00502
DB01143,1,DB04861
DB00486,1,DB01623
DB00454,1,DB04842
DB01032,1,DB08909
DB00014,1,DB06825
DB00484,1,DB00572
DB00975,1,DB09027
DB00181,1,DB00543
DB00216,1,DB00904
DB01319,1,DB08912
DB00215,1,DB00691
DB00350,1,DB01235
DB00752,1,DB09290
DB00881,1,DB01261
DB00761,1,DB01114
DB04905,1,DB08934
DB00543,1,DB00904
DB00191,1,DB00258
DB01064,1,DB06711
DB00452,1,DB09060
DB01397,1,DB06817
DB00182,1,DB01242
DB00391,1,DB00835
DB01151,1,DB09065
DB00218,1,DB00266
DB00434,1,DB00715
DB00582,1,DB00834
DB01064,1,DB09080
DB00673,1,DB01115
DB00252,1,DB01327
DB00603,1,DB01238
DB00014,1,DB01259
DB00091,1,DB00270
DB00266,1,DB01606
DB00503,1,DB01220
DB00669,1,DB01239
DB00921,1,DB08815
DB00307,1,DB01211
DB01037,1,DB06707
DB00864,1,DB06717
DB00470,1,DB00872
DB01223,1,DB01320
DB00742,1,DB00794
DB00594,1,DB01551
DB00319,1,DB01418
DB00295,1,DB00427
DB00216,1,DB00391
DB01174,1,DB09112
DB00820,1,DB09242
DB00651,1,DB05039
DB01017,1,DB01174
DB00427,1,DB00598
DB00673,1,DB00877
DB01021,1,DB09038
DB01263,1,DB06589
DB00243,1,DB00501
DB00220,1,DB00243
DB01242,1,DB01463
DB00368,1,DB01577
DB00318,1,DB04871
DB01114,1,DB04924
DB00794,1,DB09039
DB00370,1,DB09054
DB08877,1,DB09048
DB00691,1,DB09026
DB00180,1,DB04868
DB00586,1,DB00700
DB00983,1,DB01193
DB00186,1,DB00652
DB00206,1,DB06616
DB00182,1,DB00830
DB08934,1,DB09280
DB00318,1,DB01614
DB00564,1,DB00860
DB00252,1,DB00544
DB00006,1,DB09211
DB05812,1,DB06216
DB00668,1,DB01193
DB00765,1,DB01242
DB00808,1,DB00844
DB00877,1,DB06717
DB00452,1,DB00766
DB00343,1,DB00564
DB00818,1,DB05271
DB01174,1,DB06684
DB00188,1,DB01238
DB00325,1,DB01354
DB00337,1,DB00976
DB03619,1,DB08794
DB00470,1,DB00619
DB00254,1,DB00948
DB00186,1,DB06282
DB00945,1,DB01560
DB08439,1,DB09065
DB00263,1,DB00418
DB00382,1,DB00612
DB00864,1,DB01211
DB00388,1,DB00867
DB00484,1,DB01501
DB00706,1,DB09063
DB00203,1,DB02703
DB00186,1,DB00737
DB00460,1,DB01120
DB01171,1,DB06148
DB00187,1,DB04855
DB00281,1,DB06414
DB00468,1,DB00559
DB00780,1,DB06791
DB00502,1,DB09068
DB01357,1,DB08882
DB02703,1,DB09053
DB00780,1,DB00918
DB01174,1,DB09291
DB01174,1,DB06769
DB01556,1,DB09080
DB00413,1,DB00484
DB00214,1,DB00412
DB00673,1,DB01058
DB00268,1,DB09117
DB00370,1,DB00559
DB00227,1,DB00559
DB05812,1,DB08899
DB00877,1,DB08899
DB00904,1,DB01242
DB01579,1,DB06711
DB00215,1,DB01087
DB00771,1,DB09290
DB04839,1,DB08933
DB01149,1,DB06176
DB01158,1,DB09220
DB00934,1,DB06288
DB01142,1,DB06288
DB01234,1,DB05039
DB01037,1,DB01235
DB04855,1,DB08877
DB00091,1,DB00677
DB00482,1,DB04272
DB00765,1,DB04841
DB01032,1,DB06819
DB00230,1,DB00715
DB00285,1,DB09241
DB00590,1,DB00834
DB00213,1,DB00745
DB01351,1,DB01403
DB00104,1,DB06218
DB01255,1,DB01377
DB00312,1,DB01136
DB00555,1,DB00921
DB00367,1,DB09280
DB00554,1,DB01014
DB00543,1,DB09117
DB00307,1,DB01167
DB00246,1,DB00813
DB00420,1,DB01069
DB00752,1,DB01579
DB06148,1,DB11181
DB00660,1,DB01403
DB00199,1,DB00864
DB00573,1,DB00687
DB00684,1,DB01603
DB00672,1,DB00687
DB00559,1,DB00949
DB00203,1,DB00220
DB00908,1,DB01418
DB00337,1,DB00970
DB00180,1,DB00999
DB00321,1,DB00682
DB00337,1,DB00488
DB00285,1,DB00569
DB00490,1,DB00972
DB00206,1,DB00264
DB00918,1,DB01149
DB06410,1,DB06723
DB00648,1,DB01181
DB00736,1,DB00758
DB00924,1,DB01618
DB01232,1,DB09054
DB08815,1,DB08827
DB00404,1,DB09073
DB00333,1,DB00503
DB01359,1,DB09083
DB00206,1,DB01168
DB00498,1,DB00686
DB00765,1,DB00898
DB00332,1,DB00679
DB01167,1,DB06209
DB00997,1,DB01211
DB00999,1,DB09083
DB01189,1,DB09034
DB00312,1,DB00678
DB00367,1,DB01120
DB00722,1,DB01021
DB01255,1,DB01288
DB00378,1,DB01418
DB00363,1,DB00656
DB00726,1,DB09048
DB00831,1,DB01069
DB00208,1,DB00715
DB00924,1,DB05812
DB00669,1,DB01624
DB00486,1,DB09300
DB00673,1,DB00706
DB00193,1,DB00377
DB09049,1,DB09118
DB00921,1,DB06201
DB00542,1,DB00697
DB00934,1,DB09117
DB01337,1,DB06696
DB00374,1,DB00519
DB01026,1,DB09083
DB00264,1,DB09282
DB01054,1,DB06724
DB08815,1,DB08873
DB00794,1,DB06204
DB00956,1,DB06414
DB09073,1,DB09128
DB01320,1,DB08875
DB00120,1,DB00864
DB00331,1,DB01072
DB00569,1,DB09068
DB00238,1,DB01045
DB00382,1,DB11315
DB01041,1,DB01174
DB01120,1,DB04946
DB00690,1,DB02703
DB01072,1,DB05109
DB01016,1,DB01119
DB00420,1,DB01104
DB00951,1,DB01167
DB00737,1,DB09271
DB01124,1,DB01357
DB00214,1,DB00312
DB00524,1,DB00734
DB02703,1,DB06605
DB01072,1,DB06335
DB00195,1,DB00474
DB00273,1,DB00341
DB00186,1,DB01242
DB00315,1,DB01267
DB00320,1,DB00420
DB00841,1,DB11093
DB00387,1,DB00950
DB00999,1,DB01120
DB08880,1,DB08895
DB00438,1,DB00798
DB01041,1,DB06201
DB00802,1,DB01254
DB01418,1,DB03619
DB00503,1,DB08881
DB00433,1,DB00557
DB01195,1,DB06603
DB00321,1,DB01351
DB00683,1,DB00818
DB00224,1,DB01198
DB00601,1,DB01274
DB00418,1,DB00697
DB00569,1,DB08976
DB00468,1,DB09049
DB00745,1,DB01166
DB01167,1,DB01224
DB00765,1,DB09117
DB00653,1,DB01201
DB00635,1,DB00976
DB01242,1,DB09042
DB00450,1,DB06288
DB00381,1,DB01320
DB00331,1,DB06663
DB00270,1,DB00474
DB00715,1,DB01367
DB00327,1,DB09272
DB00215,1,DB00898
DB00333,1,DB00477
DB00521,1,DB01355
DB00674,1,DB06288
DB00396,1,DB04272
DB01149,1,DB08815
DB00887,1,DB00912
DB00418,1,DB00549
DB00214,1,DB00862
DB00972,1,DB08815
DB00393,1,DB00468
DB05294,1,DB09027
DB01080,1,DB01173
DB01118,1,DB09118
DB00774,1,DB00945
DB00648,1,DB09071
DB01167,1,DB01253
DB00246,1,DB01149
DB00780,1,DB00851
DB01114,1,DB09072
DB01075,1,DB09272
DB00370,1,DB01176
DB00798,1,DB01111
DB00297,1,DB01210
DB00590,1,DB01355
DB00333,1,DB00334
DB01319,1,DB06237
DB00268,1,DB00370
DB00688,1,DB01061
DB00750,1,DB01086
DB01194,1,DB05521
DB08899,1,DB09068
DB00976,1,DB01062
DB00872,1,DB09053
DB00703,1,DB01354
DB00593,1,DB00921
DB00687,1,DB05521
DB00887,1,DB06204
DB00503,1,DB01124
DB00472,1,DB00501
DB01590,1,DB04908
DB00588,1,DB00830
DB00619,1,DB01218
DB01254,1,DB09054
DB00932,1,DB00946
DB01155,1,DB09267
DB01261,1,DB02901
DB00411,1,DB00598
DB00237,1,DB00331
DB00564,1,DB08903
DB00472,1,DB01038
DB00594,1,DB06204
DB00188,1,DB01026
DB00625,1,DB09053
DB01233,1,DB01403
DB00997,1,DB01033
DB01259,1,DB09048
DB00270,1,DB00692
DB00479,1,DB01050
DB00370,1,DB00503
DB00678,1,DB01119
DB00673,1,DB01590
DB01259,1,DB09073
DB01319,1,DB08820
DB00381,1,DB01045
DB00474,1,DB01162
DB00222,1,DB01406
DB00934,1,DB06204
DB00203,1,DB00862
DB01030,1,DB06210
DB00243,1,DB01211
DB00310,1,DB01016
DB01222,1,DB01232
DB00668,1,DB01171
DB00241,1,DB00269
DB00675,1,DB04855
DB00808,1,DB01551
DB00211,1,DB01193
DB00186,1,DB00543
DB00593,1,DB09117
DB00207,1,DB00243
DB01181,1,DB09063
DB01233,1,DB01247
DB00243,1,DB01319
DB00266,1,DB00823
DB00496,1,DB09128
DB00953,1,DB01267
DB00374,1,DB00783
DB06414,1,DB08899
DB00177,1,DB01197
DB01182,1,DB05521
DB00208,1,DB00252
