d1,d2,type
DB00780,DB00968,1
DB06723,DB09020,1
DB01184,DB09083,1
DB00697,DB01403,1
DB00715,DB01067,1
DB00304,DB03880,1
DB06695,DB09280,1
DB00813,DB08873,1
DB00176,DB00569,1
DB01184,DB08820,1
DB01033,DB01097,1
DB00684,DB01147,1
DB00972,DB06204,1
DB00768,DB00921,1
DB00476,DB01142,1
DB00736,DB01254,1
DB00413,DB00540,1
DB00932,DB02659,1
DB01017,DB06216,1
DB00014,DB06663,1
DB08899,DB09053,1
DB00196,DB00697,1
DB00390,DB01172,1
DB01026,DB01182,1
DB00484,DB00594,1
DB00808,DB01353,1
DB01221,DB06201,1
DB00569,DB00603,1
DB00706,DB00820,1
DB00237,DB00421,1
DB00321,DB05039,1
DB00175,DB01390,1
DB00470,DB00678,1
DB00371,DB00470,1
DB00444,DB04817,1
DB00864,DB04855,1
DB01175,DB09073,1
DB00477,DB04896,1
DB00502,DB01041,1
DB00206,DB00370,1
DB00991,DB06695,1
DB00176,DB09128,1
DB01320,DB09273,1
DB00695,DB00854,1
DB00252,DB00418,1
DB00932,DB09075,1
DB00366,DB00423,1
DB00961,DB01210,1
DB01017,DB01224,1
DB00180,DB01174,1
DB01403,DB08910,1
DB01075,DB06204,1
DB00986,DB11181,1
DB00334,DB04844,1
DB00387,DB00470,1
DB00390,DB09102,1
DB01579,DB06724,1
DB00382,DB00455,1
DB00346,DB00752,1
DB01340,DB09282,1
DB00734,DB00813,1
DB00244,DB00448,1
DB00794,DB06176,1
DB00269,DB01601,1
DB01184,DB08873,1
DB00252,DB00313,1
DB00252,DB00741,1
DB00611,DB00999,1
DB06707,DB09273,1
DB00391,DB00408,1
DB00188,DB00834,1
DB00237,DB04841,1
DB00343,DB09118,1
DB00988,DB06707,1
DB00976,DB08933,1
DB00188,DB00196,1
DB01072,DB04855,1
DB00414,DB04574,1
DB00802,DB08899,1
DB00252,DB00316,1
DB06704,DB09082,1
DB00864,DB06589,1
DB00731,DB01124,1
DB01124,DB06663,1
DB00398,DB01263,1
DB00657,DB09220,1
DB00798,DB09268,1
DB00422,DB01556,1
DB00321,DB00904,1
DB00199,DB00872,1
DB00660,DB09034,1
DB01124,DB08439,1
DB00613,DB00625,1
DB00359,DB08882,1
DB00919,DB01009,1
DB00907,DB04946,1
DB00490,DB08933,1
DB00601,DB01064,1
DB00363,DB01576,1
DB00321,DB01072,1
DB00695,DB01551,1
DB01115,DB01210,1
DB00503,DB01048,1
DB05521,DB09030,1
DB00622,DB06616,1
DB00559,DB06702,1
DB00889,DB01104,1
DB08865,DB08933,1
DB00214,DB00563,1
DB00595,DB11110,1
DB00268,DB00371,1
DB01590,DB09291,1
DB00366,DB01278,1
DB06480,DB08865,1
DB00204,DB00916,1
DB05521,DB08875,1
DB00266,DB01185,1
DB00601,DB00679,1
DB00334,DB04896,1
DB00250,DB00727,1
DB00181,DB01142,1
DB00524,DB00844,1
DB09065,DB09068,1
DB00177,DB01193,1
DB00564,DB00776,1
DB00176,DB01075,1
DB00988,DB06714,1
DB00537,DB00661,1
DB01247,DB09241,1
DB00443,DB00682,1
DB00335,DB03128,1
DB08895,DB09083,1
DB00669,DB06262,1
DB00771,DB01021,1
DB04839,DB08882,1
DB00420,DB06700,1
DB00243,DB01026,1
DB00312,DB00957,1
DB00311,DB01192,1
DB00559,DB01229,1
DB00924,DB01609,1
DB00844,DB00921,1
DB00455,DB09280,1
DB00498,DB06228,1
DB00582,DB06589,1
DB00273,DB00794,1
DB00474,DB01142,1
DB00582,DB09073,1
DB06201,DB06335,1
DB00909,DB01174,1
DB00607,DB01427,1
DB04908,DB06290,1
DB00343,DB06290,1
DB00861,DB09053,1
DB00953,DB01239,1
DB00418,DB08867,1
DB00178,DB01143,1
DB00648,DB00829,1
DB00241,DB00379,1
DB00933,DB00952,1
DB00695,DB00806,1
DB00759,DB08795,1
DB00307,DB00393,1
DB00264,DB01158,1
DB00285,DB00461,1
DB00181,DB06282,1
DB00476,DB03619,1
DB00570,DB01211,1
DB00759,DB06724,1
DB00277,DB06213,1
DB01168,DB09289,1
DB00182,DB00477,1
DB01097,DB01254,1
DB00897,DB08873,1
DB00736,DB08912,1
DB00196,DB04938,1
DB00540,DB01017,1
DB00641,DB02703,1
DB00452,DB00803,1
DB00187,DB00871,1
DB00542,DB01261,1
DB01021,DB01174,1
DB00091,DB06696,1
DB00748,DB01041,1
DB00186,DB09555,1
DB00393,DB06700,1
DB01041,DB01242,1
DB00214,DB00333,1
DB01168,DB01560,1
DB00346,DB00575,1
DB00831,DB01560,1
DB00370,DB08872,1
DB00625,DB09102,1
DB06237,DB08820,1
DB05521,DB06290,1
DB00224,DB00404,1
DB00268,DB01202,1
DB00295,DB00433,1
DB01118,DB09274,1
DB00605,DB03615,1
DB00476,DB00564,1
DB00311,DB00497,1
DB00252,DB00309,1
DB00727,DB00750,1
DB00333,DB01215,1
DB00682,DB01150,1
DB01100,DB09097,1
DB00176,DB09042,1
DB00754,DB06148,1
DB00370,DB00780,1
DB00196,DB01591,1
DB01021,DB01234,1
DB00363,DB04839,1
DB00956,DB08909,1
DB00661,DB00945,1
DB00780,DB01156,1
DB00539,DB06206,1
DB00582,DB09071,1
DB09068,DB09118,1
DB00181,DB01624,1
DB00321,DB00839,1
DB00204,DB00468,1
DB00363,DB01558,1
DB00237,DB09034,1
DB00433,DB06700,1
DB00921,DB01080,1
DB09271,DB09555,1
DB00418,DB00519,1
DB00187,DB09242,1
DB00237,DB00343,1
DB00672,DB06791,1
DB00752,DB08815,1
DB00622,DB00752,1
DB00252,DB00678,1
DB00620,DB01609,1
DB00932,DB08934,1
DB00277,DB00470,1
DB01221,DB08883,1
DB00620,DB06335,1
DB00514,DB00767,1
DB00248,DB00952,1
DB08820,DB09063,1
DB00401,DB06290,1
DB00363,DB08880,1
DB00996,DB09407,1
DB00972,DB06201,1
DB00484,DB01198,1
DB01203,DB09080,1
DB00557,DB04924,1
DB00268,DB01068,1
DB01100,DB08865,1
DB01254,DB01394,1
DB00246,DB01356,1
DB00814,DB01418,1
DB06413,DB06711,1
DB01577,DB06711,1
DB00661,DB06218,1
DB00187,DB01235,1
DB01207,DB01551,1
DB06290,DB08932,1
DB00687,DB09065,1
DB00528,DB00976,1
DB00186,DB00190,1
DB00215,DB00765,1
DB06335,DB06789,1
DB00898,DB06706,1
DB01167,DB09123,1
DB00761,DB09300,1
DB00279,DB00564,1
DB00238,DB08912,1
DB01142,DB05812,1
DB00588,DB01026,1
DB00214,DB00565,1
DB00572,DB00898,1
DB01233,DB01623,1
DB00184,DB00418,1
DB00601,DB06706,1
DB04884,DB04920,1
DB00252,DB04845,1
DB01045,DB06684,1
DB00402,DB01173,1
DB08976,DB09053,1
DB00215,DB06699,1
DB00321,DB00814,1
DB01247,DB01356,1
DB00717,DB01355,1
DB00630,DB06696,1
DB00898,DB01080,1
DB00215,DB00307,1
DB01029,DB01136,1
DB00425,DB01205,1
DB00472,DB00569,1
DB00224,DB00398,1
DB00956,DB01173,1
DB00679,DB01255,1
DB00191,DB00561,1
DB00934,DB01239,1
DB01320,DB09054,1
DB00860,DB00912,1
DB00202,DB00531,1
DB00865,DB06704,1
DB00196,DB00277,1
DB00476,DB00876,1
DB00499,DB06717,1
DB00393,DB00661,1
DB00611,DB00704,1
DB01242,DB09220,1
DB00700,DB00872,1
DB00697,DB00956,1
DB00502,DB01037,1
DB00648,DB00883,1
DB00401,DB11110,1
DB08868,DB09063,1
DB08933,DB09049,1
DB00327,DB00972,1
DB00742,DB00798,1
DB00395,DB01173,1
DB00384,DB01114,1
DB00557,DB06282,1
DB01264,DB06702,1
DB00356,DB00951,1
DB00224,DB06684,1
DB00277,DB01254,1
DB00201,DB05039,1
DB09027,DB09280,1
DB00761,DB01114,1
DB00641,DB01264,1
DB06414,DB06616,1
DB00425,DB00653,1
DB00999,DB09220,1
DB04868,DB09074,1
DB00586,DB00919,1
DB00889,DB04896,1
DB00502,DB00934,1
DB00781,DB01339,1
DB00091,DB00237,1
DB00752,DB00933,1
DB00736,DB01024,1
DB00502,DB01151,1
DB00252,DB01224,1
DB00091,DB00582,1
DB01403,DB09555,1
DB00951,DB01238,1
DB00243,DB08899,1
DB00880,DB01354,1
DB06148,DB09076,1
DB00918,DB06262,1
DB00571,DB08881,1
DB00393,DB00908,1
DB00814,DB01356,1
DB01609,DB05294,1
DB00880,DB06335,1
DB00610,DB00871,1
DB00972,DB08872,1
DB00794,DB01320,1
DB00468,DB00594,1
DB00252,DB00682,1
DB00454,DB00780,1
DB00898,DB04908,1
DB00829,DB09118,1
DB00220,DB00863,1
DB01251,DB06789,1
DB00559,DB00705,1
DB01054,DB01320,1
DB00014,DB01167,1
DB00201,DB00988,1
DB01032,DB01137,1
DB00989,DB01463,1
DB01320,DB08903,1
DB00715,DB06144,1
DB00834,DB09074,1
DB00972,DB09034,1
DB00222,DB00898,1
DB00176,DB06708,1
DB00472,DB01035,1
DB01026,DB01253,1
DB00477,DB01264,1
DB00246,DB09072,1
DB00393,DB00857,1
DB00465,DB00565,1
DB00479,DB00554,1
DB00341,DB00715,1
DB00211,DB00983,1
DB00315,DB00409,1
DB00490,DB01178,1
DB06218,DB06791,1
DB06228,DB09211,1
DB00376,DB01278,1
DB04924,DB08897,1
DB00321,DB00391,1
DB00163,DB00500,1
DB01120,DB01238,1
DB00366,DB08883,1
DB00332,DB01365,1
DB01173,DB01409,1
DB00573,DB00806,1
DB00186,DB08815,1
DB00688,DB00717,1
DB00313,DB01045,1
DB01173,DB01595,1
DB00338,DB00399,1
DB01097,DB01234,1
DB00178,DB01392,1
DB00215,DB06413,1
DB00679,DB09039,1
DB09053,DB09118,1
DB06782,DB09147,1
DB00865,DB01620,1
DB00502,DB00865,1
DB00295,DB00475,1
DB00794,DB00960,1
DB00193,DB00559,1
DB00720,DB06724,1
DB00243,DB08827,1
DB04908,DB09049,1
DB00465,DB00864,1
DB00834,DB08918,1
DB01041,DB01221,1
DB01254,DB01418,1
DB00393,DB01351,1
DB01244,DB06207,1
DB00714,DB00889,1
DB00622,DB06695,1
DB00932,DB04272,1
DB00450,DB09083,1
DB00610,DB01223,1
DB00448,DB09027,1
DB00682,DB06206,1
DB00497,DB00557,1
DB01132,DB01241,1
DB00418,DB00794,1
DB00321,DB00672,1
DB04868,DB06237,1
DB00672,DB04861,1
DB01551,DB09273,1
DB00475,DB09118,1
DB02703,DB04908,1
DB00708,DB00960,1
DB01208,DB06292,1
DB00373,DB08896,1
DB00252,DB01054,1
DB00960,DB08976,1
DB01118,DB01195,1
DB00752,DB09274,1
DB01351,DB09034,1
DB01098,DB01264,1
DB09076,DB09300,1
DB00433,DB01403,1
DB00379,DB01175,1
DB00231,DB01320,1
DB00278,DB00396,1
DB01418,DB06206,1
DB00875,DB09042,1
DB06287,DB08912,1
DB00349,DB01173,1
DB01403,DB04871,1
DB00321,DB01041,1
DB00470,DB01291,1
DB00993,DB04854,1
DB00224,DB06176,1
DB00479,DB00500,1
DB00594,DB09282,1
DB00273,DB00370,1
DB00263,DB00912,1
DB00788,DB09295,1
DB00193,DB09065,1
DB00422,DB00695,1
DB00216,DB00502,1
DB00343,DB09083,1
DB00374,DB01104,1
DB00601,DB09241,1
DB00765,DB01624,1
DB00503,DB01124,1
DB00367,DB01124,1
DB00191,DB00841,1
DB00484,DB00653,1
DB01182,DB05812,1
DB00307,DB09073,1
DB00960,DB01235,1
DB00502,DB00997,1
DB00586,DB00687,1
DB00269,DB06697,1
DB01264,DB06237,1
DB00973,DB01241,1
DB01264,DB08901,1
DB00343,DB00381,1
DB00565,DB01427,1
DB00176,DB00715,1
DB00835,DB01409,1
DB00196,DB00673,1
DB01251,DB01319,1
DB00952,DB01624,1
DB00780,DB01614,1
DB04574,DB08882,1
DB00285,DB00961,1
DB01119,DB01193,1
DB00450,DB01176,1
DB00752,DB08907,1
DB01071,DB09118,1
DB00181,DB00371,1
DB01178,DB01577,1
DB00503,DB00672,1
DB00408,DB01001,1
DB00420,DB01200,1
DB00679,DB01233,1
DB00968,DB01119,1
DB00489,DB01377,1
DB01036,DB09054,1
DB00370,DB00831,1
DB00481,DB04938,1
DB00014,DB08893,1
DB00661,DB01158,1
DB01026,DB08816,1
DB00346,DB00742,1
DB00717,DB06290,1
DB00363,DB09117,1
DB00903,DB01016,1
DB00245,DB00332,1
DB00387,DB00611,1
DB00163,DB01551,1
DB01100,DB08820,1
DB00266,DB00338,1
DB00232,DB00312,1
DB00182,DB09080,1
DB00575,DB08895,1
DB00625,DB08899,1
DB00605,DB06696,1
DB00783,DB04839,1
DB00687,DB06717,1
DB00820,DB01174,1
DB00413,DB00422,1
DB00420,DB00761,1
DB00470,DB01171,1
DB00997,DB01601,1
DB06237,DB06717,1
DB00273,DB00726,1
DB04842,DB06700,1
DB00847,DB09104,1
DB01168,DB09209,1
DB00748,DB06148,1
DB01356,DB04842,1
DB00366,DB00455,1
DB01415,DB06696,1
DB00494,DB09286,1
DB00555,DB00898,1
DB00374,DB01197,1
DB00331,DB01234,1
DB00765,DB01063,1
DB00949,DB09048,1
DB00342,DB00976,1
DB00425,DB06201,1
DB00898,DB08907,1
DB01016,DB01319,1
DB00726,DB06144,1
DB00220,DB00683,1
DB00208,DB00571,1
DB00177,DB06210,1
DB01192,DB06767,1
DB00268,DB09034,1
DB00530,DB09048,1
DB00321,DB08883,1
DB00543,DB01403,1
DB00806,DB01018,1
DB00679,DB00898,1
DB00213,DB00745,1
DB06212,DB09065,1
DB00418,DB09038,1
DB00765,DB00850,1
DB00277,DB01165,1
DB00564,DB09128,1
DB00749,DB00955,1
DB00898,DB01623,1
DB00619,DB04908,1
DB01136,DB06480,1
DB00803,DB01082,1
DB00806,DB04861,1
DB01201,DB05109,1
DB00486,DB00690,1
DB00648,DB06212,1
DB00181,DB00246,1
DB00528,DB00732,1
DB00409,DB01255,1
DB01418,DB09070,1
DB00851,DB05812,1
DB04868,DB06207,1
DB01224,DB08933,1
DB00925,DB09282,1
DB00844,DB01173,1
DB05812,DB06480,1
DB00254,DB01602,1
DB01211,DB09119,1
DB01319,DB09034,1
DB00988,DB01255,1
DB00881,DB09220,1
DB00358,DB09073,1
DB00163,DB06209,1
DB00344,DB00816,1
DB00338,DB00530,1
DB00220,DB00675,1
DB00268,DB00295,1
DB00190,DB00752,1
DB00343,DB01392,1
DB00497,DB08865,1
DB00182,DB00869,1
DB08827,DB08865,1
DB00900,DB01264,1
DB00976,DB01062,1
DB00181,DB00316,1
DB00687,DB00981,1
DB00661,DB04868,1
DB00794,DB01158,1
DB01118,DB01193,1
DB00767,DB00924,1
DB00537,DB01377,1
DB00582,DB08899,1
DB00091,DB00196,1
DB00637,DB01232,1
DB00307,DB06702,1
DB00334,DB01200,1
DB00358,DB00832,1
DB01403,DB09271,1
DB00470,DB08897,1
DB00687,DB00834,1
DB01656,DB08910,1
DB00820,DB00976,1
DB00250,DB00559,1
DB00300,DB00814,1
DB00924,DB01173,1
DB01151,DB01264,1
DB01030,DB04817,1
DB04868,DB08899,1
DB00571,DB04855,1
DB00631,DB04817,1
DB00571,DB01264,1
DB00908,DB09027,1
DB00561,DB00865,1
DB00091,DB00834,1
DB01149,DB08864,1
DB00867,DB01274,1
DB00374,DB01166,1
DB00590,DB01119,1
DB00691,DB06196,1
DB00475,DB01254,1
DB01120,DB01268,1
DB00458,DB09065,1
DB00945,DB08907,1
DB00906,DB06201,1
DB00502,DB00952,1
DB00717,DB06697,1
DB00559,DB08873,1
DB00206,DB01142,1
DB00454,DB00474,1
DB00841,DB01291,1
DB01359,DB09220,1
DB00557,DB00949,1
DB06698,DB09555,1
DB00470,DB01118,1
DB01202,DB01403,1
DB00283,DB04924,1
DB00502,DB06819,1
DB00207,DB09075,1
DB00295,DB01403,1
DB00477,DB00972,1
DB00294,DB01418,1
DB01000,DB01172,1
DB01106,DB08883,1
DB00932,DB04876,1
DB00872,DB08865,1
DB01274,DB09273,1
DB01319,DB09074,1
DB00653,DB01023,1
DB00177,DB06715,1
DB00604,DB09073,1
DB00104,DB01224,1
DB00248,DB01214,1
DB00967,DB08897,1
DB01320,DB01356,1
DB00191,DB00363,1
DB00206,DB01577,1
DB00903,DB01120,1
DB00535,DB00684,1
DB00586,DB00622,1
DB00333,DB00897,1
DB00320,DB00391,1
DB00397,DB06701,1
DB00199,DB00586,1
DB00482,DB09112,1
DB00898,DB01037,1
DB00211,DB00938,1
DB00758,DB00884,1
DB00314,DB03615,1
DB00872,DB00921,1
DB00422,DB00492,1
DB01365,DB09082,1
DB00248,DB00436,1
DB00593,DB00956,1
DB01050,DB03615,1
DB00366,DB00794,1
DB00408,DB09068,1
DB00564,DB00687,1
DB00187,DB01210,1
DB01353,DB09026,1
DB00628,DB08883,1
DB00968,DB08877,1
DB00414,DB01621,1
DB00780,DB00790,1
DB00408,DB00454,1
DB00252,DB04839,1
DB00540,DB01618,1
DB01001,DB01021,1
DB01263,DB04884,1
DB01224,DB09271,1
DB00909,DB09072,1
DB00862,DB06207,1
DB00187,DB01119,1
DB00178,DB01021,1
DB00214,DB00374,1
DB00813,DB04868,1
DB00268,DB06288,1
DB00333,DB08883,1
DB00482,DB01032,1
DB00374,DB09118,1
DB00794,DB00990,1
DB00425,DB01189,1
DB00202,DB00981,1
DB00224,DB00604,1
DB01600,DB06228,1
DB01039,DB06777,1
DB00268,DB00490,1
DB00204,DB01263,1
DB00273,DB01144,1
DB00705,DB06724,1
DB00912,DB08912,1
DB00338,DB00559,1
DB01263,DB09262,1
DB00684,DB09060,1
DB00259,DB09214,1
DB00484,DB00628,1
DB00243,DB06290,1
DB00921,DB09073,1
DB00252,DB08916,1
DB01149,DB02703,1
DB00121,DB01000,1
DB00222,DB00252,1
DB00273,DB00950,1
DB00564,DB06684,1
DB00752,DB00934,1
DB01232,DB08934,1
DB00393,DB08820,1
DB00524,DB00657,1
DB00624,DB08907,1
DB00257,DB01238,1
DB01100,DB01263,1
DB00752,DB00782,1
DB06701,DB06711,1
DB00564,DB00740,1
DB06695,DB08881,1
DB00268,DB00575,1
DB00450,DB00486,1
DB00622,DB08916,1
